Latitud,Longitud
20.23214,-89.36901
20.23465,-89.37325
20.2363,-89.36287
20.2366,-89.37242
20.24091,-89.36824
20.24162,-89.35857
20.24249,-89.36259
20.24332,-89.39446
20.24472,-89.36846
20.24563,-89.4384
20.2472,-89.43301
20.24748,-89.36863
20.24855,-89.37634
20.25119,-89.44457
20.2515,-89.38045
20.25215,-89.38019
20.25522,-89.43636
20.25623,-89.42231
20.25628,-89.42965
20.25677,-89.39837
20.2576,-89.452
20.25791,-89.38565
20.25957,-89.45824
20.26013,-89.39278
20.26105,-89.43711
20.26281,-89.40237
20.26621,-89.46044
20.2663,-89.45165
20.26992,-89.45593
20.27226,-89.44795
20.27254,-89.43647
20.27283,-89.40654
20.27391,-89.416
20.27635,-89.44631
20.27646,-89.43863
20.2814,-89.43854
20.4254,-89.75262
20.44728,-89.79658
20.45538,-89.80669
20.46044,-89.79023
20.46914,-89.30241
20.47237,-89.84443
20.4753,-89.9531
20.47728,-89.29977
20.47855,-89.95987
20.48383,-89.80774
20.48636,-90.15088
20.48648,-89.73316
20.49341,-90.17551
20.4939,-89.94506
20.49414,-89.94608
20.4952,-89.83932
20.49731,-89.88118
20.49791,-89.72625
20.49846,-89.81414
20.4987,-89.9703
20.49893,-89.95811
20.50014,-89.82577
20.50044,-89.74834
20.50047,-89.84983
20.50236,-89.96387
20.50271,-89.76456
20.50293,-89.82081
20.50384,-89.86652
20.50424,-89.97347
20.50522,-89.85884
20.50594,-89.84149
20.50601,-89.87241
20.50671,-89.84211
20.50762,-89.9744
20.51196,-89.96961
20.51601,-89.89704
20.51953,-89.96899
20.5199,-89.87233
20.52039,-89.91325
20.52205,-89.90211
20.52399,-89.85547
20.52406,-89.93366
20.52446,-89.37451
20.52571,-89.87011
20.52811,-89.35684
20.52857,-89.88774
20.53151,-89.9131
20.53203,-89.88969
20.53253,-89.35148
20.5329,-89.90006
20.53479,-89.89433
20.53494,-89.90645
20.53564,-89.91565
20.53599,-89.96565
20.53618,-89.85956
20.53702,-89.89704
20.54045,-89.35653
20.5405,-89.9123
20.54103,-89.97125
20.5422,-89.85762
20.5437,-89.9323
20.54466,-89.91091
20.54708,-90.16256
20.54733,-89.92005
20.54806,-89.97761
20.54868,-89.93041
20.55036,-89.87651
20.55104,-89.95182
20.55128,-89.94239
20.5513,-89.94206
20.55197,-90.14996
20.55465,-89.94743
20.55475,-89.94716
20.55526,-89.88344
20.55635,-89.98698
20.55788,-89.99273
20.55854,-89.95039
20.5598,-89.95639
20.56038,-89.71095
20.56065,-89.96899
20.56078,-89.95658
20.56152,-89.9633
20.56218,-89.91006
20.56352,-89.8939
20.56538,-89.95595
20.56549,-89.89772
20.56614,-89.95267
20.5679,-89.96217
20.56873,-89.96957
20.56926,-89.88671
20.56969,-89.97222
20.57,-90.22524
20.57384,-89.98461
20.58033,-90.21687
20.58601,-90.21664
20.59946,-90.21591
20.61431,-90.16962
20.61961,-89.89014
20.61997,-89.89163
20.62534,-90.21452
20.63044,-90.18752
20.63083,-89.93382
20.63103,-90.15834
20.63319,-89.93115
20.63734,-89.71521
20.63839,-89.92464
20.63921,-89.89982
20.64103,-89.89516
20.64499,-89.6835
20.64537,-89.91853
20.64615,-89.6958
20.64673,-89.70777
20.65005,-89.7049
20.65037,-90.22343
20.65038,-90.22486
20.65212,-89.91389
20.65394,-90.22975
20.65511,-90.21132
20.65726,-90.21387
20.65748,-89.70901
20.65771,-89.90567
20.66547,-90.21278
20.66623,-90.21262
20.66666,-89.9005
20.67617,-89.89118
20.68268,-89.88657
20.68849,-90.21467
20.68938,-89.75117
20.68969,-89.67741
20.6925,-89.8775
20.69251,-89.87753
20.69955,-89.74559
20.70109,-89.80797
20.7074,-89.86657
20.71215,-89.8122
20.71253,-89.86022
20.7126,-89.8602
20.71328,-89.85522
20.72039,-90.21451
20.73297,-90.21589
20.73489,-89.81979
20.73797,-89.85852
20.73798,-89.85856
20.74209,-89.7226
20.74401,-90.21583
20.74681,-89.81291
20.75118,-89.86234
20.75163,-89.86121
20.75214,-89.80832
20.7524,-90.21101
20.75472,-89.78109
20.76077,-89.86654
20.76315,-88.05557
20.76601,-90.2103
20.7679,-88.0527
20.76945,-89.86568
20.76963,-89.86861
20.76982,-89.71913
20.77879,-88.04656
20.78672,-90.19702
20.80072,-90.19945
20.80488,-88.04568
20.80921,-88.24232
20.81067,-89.80484
20.81127,-88.04444
20.81332,-89.45246
